image_id,image_path,visible_ingredients
0300_jpeg.rf.59609d1423cad492f6c67278fc4ac662.jpg,data/raw/valid/images/0300_jpeg.rf.59609d1423cad492f6c67278fc4ac662.jpg,"redbull, picante, cocacola, olive, ketchup, mayonnaise, meat, milk, kiwi, tortilla, egg, cabbage, butter, noodle"
0299_jpeg.rf.d49f98a6eaa13c6ba5b4ac91a30dee95.jpg,data/raw/valid/images/0299_jpeg.rf.d49f98a6eaa13c6ba5b4ac91a30dee95.jpg,"egg, orange juice, potato, milk & rice drink"
0861_jpeg.rf.0b3edf4571a0f7b914542343f5611dc1.jpg,data/raw/valid/images/0861_jpeg.rf.0b3edf4571a0f7b914542343f5611dc1.jpg,"ketchup, cherry tomato, mustard, coffee mate snickers, bodyarmour lyte, egg beaters, hersheys chocolate syrup, al fresco, philadelphia butter, salad, breakstone's, publix whipping cream, tzatziki yogurt dip, lettuce, "
20250620_232535_jpg.rf.64b76bb20e5863b60bdca52244cb5799.jpg,data/raw/valid/images/20250620_232535_jpg.rf.64b76bb20e5863b60bdca52244cb5799.jpg,"carrot, apple, egg, bell pepper, avocado, meyonnaise, lemon, tomato, banana, cucumber"
20250621_003504_jpg.rf.1e8f0ad8e4a09e24b3ee5be9be636643.jpg,data/raw/valid/images/20250621_003504_jpg.rf.1e8f0ad8e4a09e24b3ee5be9be636643.jpg,"bell pepper, carrot, banana, tomato, dijon mustard, cheese, cucumber, apple, meat"
DSC_6179_JPG_jpg.rf.8bdda49c3e4a5c8995a0f5005e80e92b.jpg,data/raw/valid/images/DSC_6179_JPG_jpg.rf.8bdda49c3e4a5c8995a0f5005e80e92b.jpg,"green apple, potato, mushroom, egg, bread, sugar, salt"
lk0o3x3c3t8e1_jpeg.rf.463cdb941831a325bdd27bec3e7cb8ad.jpg,data/raw/valid/images/lk0o3x3c3t8e1_jpeg.rf.463cdb941831a325bdd27bec3e7cb8ad.jpg,"daisy sour cream, reddi wip, garelick, canada dry, salad, egg, bread/bun, water bottle, ginger ale, orange juice, milk, mustard, juice"
0288_jpeg.rf.eb98932e6e080af25142040913b7a85f.jpg,data/raw/valid/images/0288_jpeg.rf.eb98932e6e080af25142040913b7a85f.jpg,"cherry tomato, coke, blueberry, cabbage, ketchup, zucchini, egg, modelo especial, rising crust four cheese pizza, orange, m&m, beer, gatorade energy drink, milk, egg"
enetmscx30971_jpg.rf.2f8b543a3db5ac13fdae28f8ec78ab84.jpg,data/raw/valid/images/enetmscx30971_jpg.rf.2f8b543a3db5ac13fdae28f8ec78ab84.jpg,"florida's natural, orange juice, jam, butter, gochujang korean chili sauce, carrot, chocolate, pickle, soy sauce, cheese"
20250619_232842_jpg.rf.9c57487915939de0d9e83603ac5ff1df.jpg,data/raw/valid/images/20250619_232842_jpg.rf.9c57487915939de0d9e83603ac5ff1df.jpg,"greek yogurt, carrot, blueberry, lemon, apple, bell pepper, cucumber, meat, orange, pickle, banana"
qus214j0so7e1_jpeg.rf.a5de4b042cd8e9380831cce3b183e31c.jpg,data/raw/valid/images/qus214j0so7e1_jpeg.rf.a5de4b042cd8e9380831cce3b183e31c.jpg,"orange, bell pepper, organic faxseed, cherry tomato, greek yogurt, olivia's baby spinach, organica beef broth, hourmet, garden basil, egg, carrot, brussel sprouts"
xpne72f2b7561_jpg.rf.237e54834aedda4fd4df61eb9ee14366.jpg,data/raw/valid/images/xpne72f2b7561_jpg.rf.237e54834aedda4fd4df61eb9ee14366.jpg,"red cabbage, bell pepper, pork sausage, coolhaus  dairy free peanut butter fudge chip, hershey's chocolate syrup, planet oat milk,  ice cream"
DSC_6028_JPG_jpg.rf.4128319ec41fa3d1c67d76ae8f167932.jpg,data/raw/valid/images/DSC_6028_JPG_jpg.rf.4128319ec41fa3d1c67d76ae8f167932.jpg,"banana, egg, tomato, mushroom, meat, potato, cake, flour, milk"
20250620_232559_jpg.rf.c8269223f51722c7893bea3b5ae28175.jpg,data/raw/valid/images/20250620_232559_jpg.rf.c8269223f51722c7893bea3b5ae28175.jpg,"apple, bell pepper, cucumber, carrot, egg, avocado, lemon, mayonnaise, tomato, butter"
DSC_6088_JPG_jpg.rf.fae5cb616201a492e7bb51ff056e7c11.jpg,data/raw/valid/images/DSC_6088_JPG_jpg.rf.fae5cb616201a492e7bb51ff056e7c11.jpg,"strawberry, soy milk, chicken breast, blueberry, coconut milk, potato, egg, meat"
j1pfsemgagce1_jpeg.rf.e7dd3c6fab42bce2f9a6e18ceacac212.jpg,data/raw/valid/images/j1pfsemgagce1_jpeg.rf.e7dd3c6fab42bce2f9a6e18ceacac212.jpg,"meat, zucchini, alexandre organic plain yogurt, producer's organic milk, egg, orange, carrot, tomato, cabbage, beef, tortilla, milk"
544pc5m6hm9e1_jpeg.rf.1031e131876f7959e7c714ee8d527dcb.jpg,data/raw/valid/images/544pc5m6hm9e1_jpeg.rf.1031e131876f7959e7c714ee8d527dcb.jpg,"egg, strawberry, hyvee almondmilk, anderson erickson dairy, broccoli, salsa dip,  cheese, ketchup, kerrygold butter, lettuce, canned drink, soda, mustard"
0080_jpeg.rf.90eae1d71a74e5341b00f86d3db84833.jpg,data/raw/test/images/0080_jpeg.rf.90eae1d71a74e5341b00f86d3db84833.jpg,"tostitos dip, blueberry, strawberry, salad, milk, yogurt, whipped cream, ranch, egg, butter, soy sauce, mustard, cheese, lettuce, orange juice, mustard, soy sauce, butter"
20250619_172819_jpg.rf.797f92ebb9da0ec6fe321da1b0e9a8c2.jpg,data/raw/test/images/20250619_172819_jpg.rf.797f92ebb9da0ec6fe321da1b0e9a8c2.jpg,"tomato, yogurt, carrot, bellpepper, avocado, cucumber,  pickle, meat"
xgzzcfjmxp5e1_jpeg.rf.abd269b99cd032d9793dce0ce002b703.jpg,data/raw/test/images/xgzzcfjmxp5e1_jpeg.rf.abd269b99cd032d9793dce0ce002b703.jpg,"cherry tomato, oat milk, raspberry, mango, chocolate, smoothie pops, pineapple, lemon, strawberry, blueberry, yogurt, mustard"
DSC_6083_JPG_jpg.rf.df29adfe178065c77312d399adf207ea.jpg,data/raw/test/images/DSC_6083_JPG_jpg.rf.df29adfe178065c77312d399adf207ea.jpg,"potato, egg, blueberry, chicken, meat, tomato, milk, bread"
DSC_5945_JPG_jpg.rf.4251f764e472849445aa75da2d78d06b.jpg,data/raw/test/images/DSC_5945_JPG_jpg.rf.4251f764e472849445aa75da2d78d06b.jpg,"tomato, strawberry, meat, chicken, carrot, lemon, green apple"
4a4awnmnx2de1_jpeg.rf.1908b305d0d936807037dbb1b0a7c6d2.jpg,data/raw/test/images/4a4awnmnx2de1_jpeg.rf.1908b305d0d936807037dbb1b0a7c6d2.jpg,"coke, asparagus, strawberry, sour cream, egg, almond milk, oat milk, ketchup,  land o'lakes butter, maple, mushroom, lime juice, mayonnaise"
20250619_172603_jpg.rf.e2989fe292b58d32319d6269dfa93833.jpg,data/raw/test/images/20250619_172603_jpg.rf.e2989fe292b58d32319d6269dfa93833.jpg,"mayonnaise, pickle, chilli sauce, soy sauce , jam"
20250620_192116_jpg.rf.8331f9f5b12682011836323ff4238095.jpg,data/raw/test/images/20250620_192116_jpg.rf.8331f9f5b12682011836323ff4238095.jpg,"cucumber, cheese, carrot, orange, avocado, banana, lemon, yogurt, butter, egg, meat, bellpepper, tomato, bluebbery, milk, beer"
DSC_5941_JPG_jpg.rf.9b0e937713fe04dfeb532595e4ed72b9.jpg,data/raw/test/images/DSC_5941_JPG_jpg.rf.9b0e937713fe04dfeb532595e4ed72b9.jpg,"carrot, strawberry, lemon, meat, green apple, chocolate, tomato, bread, flour, sugar, salt"
20250618_222535_jpg.rf.99f96018db8deed916555c4381d69261.jpg,data/raw/test/images/20250618_222535_jpg.rf.99f96018db8deed916555c4381d69261.jpg,"egg, butter, tomato, banana, yogurt, pickle, ketchup, blueberry, capsicum, onion"
0984_jpeg.rf.41093ff7c6609eec624002e4d762047d.jpg,data/raw/test/images/0984_jpeg.rf.41093ff7c6609eec624002e4d762047d.jpg,"egg, beef broth, chocolate milk, ketchup, orange juice, sweet tea, water bottle, yogurt"
DSC_6067_JPG_jpg.rf.7cf2a9b99c19673a6da23e61bd1debdb.jpg,data/raw/test/images/DSC_6067_JPG_jpg.rf.7cf2a9b99c19673a6da23e61bd1debdb.jpg,"egg, banana, cheese, mushroom, green beans, onions, bread, carrot, pickle, chilli sauce"
1w49a5xavly71_jpg.rf.e4c21786458c12b5b6205129a218be83.jpg,data/raw/test/images/1w49a5xavly71_jpg.rf.e4c21786458c12b5b6205129a218be83.jpg,ketchup
DSC_5994_JPG_jpg.rf.9f83ec4ed43d98d62bf38e0041a28d9d.jpg,data/raw/test/images/DSC_5994_JPG_jpg.rf.9f83ec4ed43d98d62bf38e0041a28d9d.jpg,"almond, banana, egg, potato, blueberry, meat, chicken breast, green beans, bread"
DSC_5959_JPG_jpg.rf.5394f74e076d0ff37c09531f0ee21049.jpg,data/raw/test/images/DSC_5959_JPG_jpg.rf.5394f74e076d0ff37c09531f0ee21049.jpg,"egg, spinach, sweet potato, onion, strawberry, mushroom, meat, green beans, bread"
ly4mf7yepbvd1_jpeg.rf.b9a656fb0d4a1a4d9a353d96a97a25c0.jpg,data/raw/test/images/ly4mf7yepbvd1_jpeg.rf.b9a656fb0d4a1a4d9a353d96a97a25c0.jpg,"carrot, bread, orange juice"
2p5wfkocpds61_jpg.rf.8b0b1b471fd7a1ce7ea50bdc21cc7940.jpg,data/raw/test/images/2p5wfkocpds61_jpg.rf.8b0b1b471fd7a1ce7ea50bdc21cc7940.jpg,"yogurt, grapes, bellpepper, egg, milk, ketchup, barbeque sauce, mint sauce, lime pickle, cookies, jam, pepper sauce, cheese, butter, hummus, "
0650_jpeg.rf.19d04c99c77fc56d18678e35c08fa1c2.jpg,data/raw/test/images/0650_jpeg.rf.19d04c99c77fc56d18678e35c08fa1c2.jpg,"lime/ lemon, egg, bellpepper, yogurt, chilli sauce, minced garlic, gochujhang, milk, ketchup, mayonnaise, pickle, chocolate"
DSC_6096_JPG_jpg.rf.ad7083d1c5abb524ce2e9d3363972495.jpg,data/raw/test/images/DSC_6096_JPG_jpg.rf.ad7083d1c5abb524ce2e9d3363972495.jpg,"chicken, green apple, blueberry, egg, milk, meat, soy milk, carrot, strawberry"
a1kuvxriau2d1_jpeg.rf.a16fdf4516a55e095e28d878080e4454.jpg,data/raw/test/images/a1kuvxriau2d1_jpeg.rf.a16fdf4516a55e095e28d878080e4454.jpg,"apple, milk, skyr, cherry tomato, hummus, sweet chilli sauce, peri peri sauce, ketchup, spring onion, bell pepper, lime/lemon, "
